"","index","order","family","genus","species","binomial","taxonomy.ref","distribution","continent","mass","mass.ref","mass.status","iucn.status","year.evaluated","extant.status","last.occurence.ka","last.occurence.ref","time.of.extinction","trophic","trophic.ref","habitat.mode","lab.comments","to.do","old.distribution","X"
"11",6587,"Soricomorpha","Soricidae","Sorex","hoyi","Sorex hoyi","1","N taiga zone of Alaska, Canada and the USA, with S outliers in the montane forests of the Appalachian and Rocky Mtns.","North.America",2.575,"60","valid","LC",2008,"extant","","","","Ginsect","t2","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"12",6599,"Soricomorpha","Soricidae","Sorex","minutissimus","Sorex minutissimus","1","Taiga zone from Norway, Sweden and Estonia to E Siberia; Sakhalin; Hokkaido, and perhaps Honshu (Japan); Mongolia; China; South Korea.","Eurasia",2.675,"111, 134","valid","LC",2008,"extant","","","","Ginsect","same as congeners","terr","Discarded order; was Insectivora now Soricopmorpha","","Taiga zofrom Norway, Sweden, Es|nia, Siberia, Mongolia, China, Korea",NA
"13",2073,"Chiroptera","Vespertilionidae","Hypsugo","bodenheimeri","Hypsugo bodenheimeri","1","Israel, Saudi Arabia, S Yemen, Oman, perhaps Socotra Isl (Yemen).","Eurasia",2.7,"153","","",NA,"extant","","","","Ainsect","same as congeners","volant","synonym; Pipstrellus is now Hypsugo","","Israel, Yemen, Oman",NA
"14",6580,"Soricomorpha","Soricidae","Sorex","gaspensis","Sorex gaspensis","1","Gaspe Peninsula, N New Brunswick, Nova Scotia, and Cape Breton Isl (Canada).","North.America",2.89,"60","valid","LC",2016,"extant","","","","Ginsect","t2","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"15",2330,"Chiroptera","Vespertilionidae","Myotis","siligorensis","Myotis siligorensis","1","N India to S China, Burma, Vietnam, and Laos; south to W Malaysia; Borneo.","Eurasia",2.955,"153","","LC",2008,"extant","","","","Ainsect","same as congeners","volant","","","India, China, Vietnam, Malaysia, Borneo",NA
"16",2115,"Chiroptera","Vespertilionidae","Kerivoula","phalaena","Kerivoula phalaena","1","Liberia, Ghana, Cameroon, Republic of Congo, Dem. Rep. Congo.","Africa",3,"153","","LC",2017,"extant","","","","ainsect","t1","volant","","","Liberia, Gha , Cameroon, Congo Republic, Zaire",NA
"17",6650,"Soricomorpha","Soricidae","Suncus","infinitesimus","Suncus infinitesimus","1","South Africa, Kenya, Central African Republic, Cameroon.","Africa",3,"260","valid","LC",2017,"extant","","","","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"18",6613,"Soricomorpha","Soricidae","Sorex","preblei","Sorex preblei","1","Columbia Plateau of Washington, Oregon, California, Idaho, Nevada to W Great Plains of Montana, Utah, Wyoming, Colorado, and New Mexico (USA). For reviews of distributional records, see Tomasi and Hoffmann (1984) and Long and Hoffmann (1992).","North.America",3.1,"66","valid","LC",2008,"extant","","","","Ginsect","t2","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"19",1955,"Chiroptera","Thyropteridae","Thyroptera","discifera","Thyroptera discifera","1","Nicaragua; Panama and Colombia to Guianas, Amazonian Brazil, Peru, and Bolivia.","North.America",3.1,"153","","LC",2008,"extant","","","","Ainsect","t2","volant","","","Nicaragua, Panama, Columbia, Guianas, Brazil, Peru, Bolivia",NA
"20",1956,"Chiroptera","Thyropteridae","Thyroptera","discifera","Thyroptera discifera","1","Nicaragua; Panama and Colombia to Guianas, Amazonian Brazil, Peru, and Bolivia.","South.America",3.1,"153","","LC",2008,"extant","","","","Ainsect","t3","volant","","","Nicaragua, Panama, Columbia, Guianas, Brazil, Peru, Bolivia",NA
"21",2071,"Chiroptera","Vespertilionidae","Hypsugo","arabicus","Hypsugo arabicus","1","Oman, Iran.","Eurasia",3.17,"153","","DD",2018,"extant","","","","Ainsect","same as congeners","volant","synonym; Pipstrellus is now Hypsugo","","Oman",NA
"22",6674,"Soricomorpha","Soricidae","Sylvisorex","johnstoni","Sylvisorex johnstoni","1","Lowland forest of the Dem. Rep. Congo Basin, SW Cameroon, Gabon, Bioko, Republic of Congo, Dem. Rep. Congo, Uganda, NW Tanzania, Burundi.","Africa",3.17,"226, 244","valid","LC",2016,"extant","","","","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","Cameroon, Gabon, Bioko, Congo Republic, Zaire, Uganda, Tanzania, Burundi",NA
"23",999,"Chiroptera","Furipteridae","Furipterus","horrens","Furipterus horrens","1","Costa Rica south to Peru, the Guianas, and E Brazil; Trinidad.","North.America",3.177,"153","valid","LC",2016,"extant","","","","Ainsect","t2","volant","","","Costa Rica, Peru, Brazil, Trinidad",NA
"24",1000,"Chiroptera","Furipteridae","Furipterus","horrens","Furipterus horrens","1","Costa Rica south to Peru, the Guianas, and E Brazil; Trinidad.","South.America",3.177,"153","valid","LC",2016,"extant","","","","Ainsect","t3","volant","","","Costa Rica, Peru, Brazil, Trinidad",NA
"25",2121,"Chiroptera","Vespertilionidae","Kerivoula","whiteheadi","Kerivoula whiteheadi","1","Philippines, Borneo, S Thailand, W Malaysia.","Eurasia",3.29,"153","","LC",2018,"extant","","","","Ainsect","same as congeners","volant","","","Philippines, Borneo, Thailand, Malaysia",NA
"26",2324,"Chiroptera","Vespertilionidae","Myotis","rosseti","Myotis rosseti","1","Cambodia, Thailand, possibly Vietnam.","Eurasia",3.29,"153","","LC",2008,"extant","","","","Ainsect","same as congeners","volant","","","Cambodia, Thailand",NA
"27",997,"Chiroptera","Furipteridae","Amorphochilus","schnablii","Amorphochilus schnablii","1","W Peru, W Ecuador, Puna Isl (Ecuador), N Chile.","South.America",3.3,"349","valid","VU",2014,"extant","","","","Ainsect","t3","volant","","","Peru, Ecuador, Chile",NA
"28",969,"Chiroptera","Emballonuridae","Saccopteryx","canescens","Saccopteryx canescens","1","Colombia, Venezuela, Guianas, N Brazil, Peru, Bolivia.","South.America",3.375,"153","valid","LC",2015,"extant","","","","Ainsect","t3","volant","","","Colombia, Venezuela, Guiana, Brazil, Peru",NA
"29",6681,"Soricomorpha","Soricidae","Sylvisorex","vulcanorum","Sylvisorex vulcanorum","1","High altitude rainforest of E Dem. Rep. Congo, Uganda, Rwanda, and Burundi.","Africa",3.5,"60","valid","NT",2008,"extant","","","Future2","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"30",2301,"Chiroptera","Vespertilionidae","Myotis","nesopolus","Myotis nesopolus","1","NE Venezuela; CuraÁao and Bonaire (Netherlands Antilles).","South.America",3.5,"153","","LC",2015,"extant","","","","Ainsect","t3","volant","","","Venezuela, Curacao, Antilles",NA
"31",6585,"Soricomorpha","Soricidae","Sorex","haydeni","Sorex haydeni","1","SE Alberta, S Saskatchewan, SW Manitoba (Canada); NW Montana southeast to Kansas, east to W and S Minnesota (USA).","North.America",3.5,"334","valid","LC",2008,"extant","","","","Ginsect","t2","terr","Discarded order; was Insectivora now Soricopmorpha","","Canada (Alberta, Saskatchewan, Mani|ba), USA (Montana, Kansas, , Minnesota)",NA
"32",6320,"Soricomorpha","Soricidae","Crocidura","bottegi","Crocidura bottegi","1","Ethiopia and N Kenya; West African records doubtful.","Africa",3.5,"60, 163","valid","DD",2008,"extant","","","","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"33",2102,"Chiroptera","Vespertilionidae","Kerivoula","intermedia","Kerivoula intermedia","1","Borneo, W Malaysia.","Eurasia",3.55,"257","","NT",2008,"extant","","","","Ainsect","same as congeners","volant","","","Borneo, Malaysia",NA
"34",6593,"Soricomorpha","Soricidae","Sorex","longirostris","Sorex longirostris","1","SE USA, Florida west to Louisiana, Arkansas, Missouri, Illinois, and Indiana; Virginia and N Carolina.","North.America",3.575,"60","valid","LC",2008,"extant","","","","Ginsect","t2","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"35",2515,"Chiroptera","Vespertilionidae","Tylonycteris","pachypus","Tylonycteris pachypus","1","Bangladesh, India, Burma, S China, Thailand, Burma, Laos, Cambodia, Vietnam to Peninsular Malaysia, Philippines, Sumatra, Java, Borneo, Bali (Indonesia); Andaman Isls (India).","Eurasia",3.58,"153","","LC",2008,"extant","","","","Ainsect","same as family","volant","","","India, s chi , philippines, lesser sunda isl |aman Isls (India)",NA
"36",6632,"Soricomorpha","Soricidae","Sorex","ugyunak","Sorex ugyunak","1","Mainland tundra west of Hudson Bay (Canada), and N Alaska (USA).","North.America",3.6,"334","valid","LC",2008,"extant","","","","Ginsect","t2","terr","Discarded order; was Insectivora now Soricopmorpha","","tundra  of hudson bay, Canada, Alaska USA",NA
"37",6755,"Chiroptera","Vespertilionidae","Rhogeessa","minutilla","Rhogeessa minutilla","1","NE Colombia, coastal Venezuela (including Margarita Isl).","South.America",3.65,"153","valid","VU",2016,"extant","","","","Ainsect","","","spelling error: Rhogeesa should be Rhogeessa","","Colombia, Venezuela (including Margarita Isl)",NA
"38",2421,"Chiroptera","Vespertilionidae","Pipistrellus","hesperus","Pipistrellus hesperus","1","Washington to SW Oklahoma (USA), and Baja California, south to Hidalgo and Guerrero (Mexico).","North.America",3.7,"153","","LC",2008,"extant","","","","Ainsect","t2","volant","","","USA, Mexico",NA
"39",6626,"Soricomorpha","Soricidae","Sorex","tenellus","Sorex tenellus","1","Mountains of WC Nevada and EC California (USA).","North.America",3.75,"60","valid","LC",2008,"extant","","","","Ginsect","t2","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"40",6628,"Soricomorpha","Soricidae","Sorex","trowbridgii","Sorex trowbridgii","1","Coastal ranges from Washington (including Destruction Isl) to California (USA); SW British Columbia (Canada).","North.America",3.8,"60","valid","LC",2008,"extant","","","","Ginsect","t2","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"41",2358,"Chiroptera","Vespertilionidae","Neoromicia","somalicus","Neoromicia somalicus","1","Senegal and Guinea-Bissau to Somalia, south to Uganda, Dem. Rep. Congo, Kenya, and Tanzania; Madagascar.","Africa",3.8,"153","","VU",2016,"extant","","","","ainsect","t1","volant","synonym; Eptesicus is now Neoromicia","","Guinea-Bissau, Somalia, Namibia, South Africa, Madagascar",NA
"42",2529,"Chiroptera","Vespertilionidae","Vespadelus","vulturnus","Vespadelus vulturnus","1","SE Australia including Tasmania.","Australia",3.815,"153","","LC",2008,"extant","","","","Ainsect","t4","volant","synonym; Eptesicus is now Vespadelus","","Australia including Tasmania",NA
"43",2355,"Chiroptera","Vespertilionidae","Neoromicia","nanus","Neoromicia nanus","1","South Africa to Ethiopia, Eritrea, Sudan, Niger, Mali, and Senegal; Madagascar; Pemba and Zanzibar.","Africa",3.886,"153, 277","","",NA,"extant","","","","ainsect","t1","volant","synonym; Pipistrellus is now Neoromicia","","Ethiopia, Sudan, Niger, Mali, Senegal, Madagascar, Zanzibar",NA
"44",6350,"Soricomorpha","Soricidae","Crocidura","fuscomurina","Crocidura fuscomurina","1","Sudan and Guinea savanna from Senegal to Ethiopia, and south to South Africa.","Africa",3.917,"60, 163, 130","valid","LC",2008,"extant","","","","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"45",4626,"Rodentia","Dipodidae","Salpingotulus","michaelis","Salpingotulus michaelis","1","Pakistan, SW Baluchistan (Roberts, 1977, 1997).","Eurasia",3.92,"60","valid","DD",2008,"extant","","","","Frug/browse","t7","terr","synonym; was Salpingotus, now is Salpingotulus","","Pakistan, Baluchistan",NA
"46",1064,"Chiroptera","Hipposideridae","Hipposideros","halophyllus","Hipposideros halophyllus","1","Thailand.","Eurasia",4,"153","valid","VU",2016,"extant","","","","Ainsect","same as congeners","volant","New family; was Rhinolophidae, now Hipposideridae","","Thailand",NA
"47",2201,"Chiroptera","Vespertilionidae","Murina","suilla","Murina suilla","1","Java, Sumatra, Borneo, W Malaysia, nearby small islands. Reports of this species from Sulawesi, Peleng Isl, and New Guinea are doubtfull, see discussion in Corbet and Hill (1992).","Eurasia",4,"153","","LC",2008,"extant","","","","Ainsect","same as congeners","volant","","","Java, Sumatra, Borneo, Malaysia",NA
"48",2319,"Chiroptera","Vespertilionidae","Myotis","ridleyi","Myotis ridleyi","1","W Malaysia, Sumatra, Borneo.","Eurasia",4,"153","","NT",2008,"extant","","","","Ainsect","same as congeners","volant","","","Malaysia, Sumatra, Borneo",NA
"49",2452,"Chiroptera","Vespertilionidae","Pipistrellus","tenuis","Pipistrellus tenuis","1","Afghanistan to the Moluccas; S China, Laos, Vietnam; Cocos Keeling Isl and Christmas Isl (Indian Ocean).","Eurasia",4,"153","","LC",2018,"extant","","","","Ainsect","same as congeners","volant","","","Afghanistan, pakistan, sri lanka, India (including Sikkim), nepal, bhutan, Burma, Vietnam, thail|",NA
"50",970,"Chiroptera","Emballonuridae","Saccopteryx","gymnura","Saccopteryx gymnura","1","Amazonian Brazil, French Guiana, Guyana, perhaps Venezuela.","South.America",4,"281","valid","DD",2016,"extant","","","","Ainsect","t3","volant","","","Brazil, Venezuela",NA
"51",6420,"Soricomorpha","Soricidae","Crocidura","obscurior","Crocidura obscurior","1","Sierra Leone to CÙte díIvoire; possibly Nigeria.","Africa",4,"322","valid","LC",2017,"extant","","","","ginsect","t1","","Discarded order; was Insectivora now Soricopmorpha","","",NA
"52",6671,"Soricomorpha","Soricidae","Sylvisorex","granti","Sylvisorex granti","1","Mountain forests of C (Dem. Rep. Congo, Uganda, Rwanda) and E Africa (Kenya, Tanzania).","Africa",4,"322","valid","LC",2008,"extant","","","","ginsect","t1","","Discarded order; was Insectivora now Soricopmorpha","","Zaire, Uganda, Rwanda, Kenya, Tanzania, Cameroon",NA
"53",1011,"Chiroptera","Hipposideridae","Cloeotis","percivali","Cloeotis percivali","1","Kenya, Tanzania, S Dem. Rep. Congo, Mozambique, Zambia, Zimbabwe, SE Botswana, Swaziland, NE South Africa.","Africa",4.05,"153","valid","LC",2016,"extant","","","","ainsect","t1","volant","New family; was Rhinolophidae, now Hipposideridae","","Kenya, Tanzania, Zaire, Mozambique, Zambia, Zimbabwe, Botswa , Swazil, South Africa",NA
"54",2248,"Chiroptera","Vespertilionidae","Myotis","elegans","Myotis elegans","1","San Luis Potosi (Mexico) to Costa Rica.","North.America",4.05,"153","","LC",2008,"extant","","","","Ainsect","t2","volant","","","Mexico, Costa Rica",NA
"55",2113,"Chiroptera","Vespertilionidae","Kerivoula","pellucida","Kerivoula pellucida","1","Borneo, Philippines, Java and Sumatra, W Malaysia.","Eurasia",4.1,"153","","NT",2008,"extant","","","","Ainsect","same as congeners","volant","","","Borneo, Philippines, Java, Sumatra, Malaysia",NA
"56",1050,"Chiroptera","Hipposideridae","Hipposideros","doriae","Hipposideros doriae","1","W Malaysia, Sarawak and Sabah (Malaysia), Borneo and Sumatra (Indonesia).","Eurasia",4.2,"153","valid","NT",2008,"extant","","","","Ainsect","same as congeners","volant","Synonym; was H. sabanus, now is S. doriae","","Borneo, Sumatra, Malaysia",NA
"57",954,"Chiroptera","Emballonuridae","Rhynchonycteris","naso","Rhynchonycteris naso","1","E Oaxaca and C Veracruz (Mexico) to C and E Brazil, Peru, Bolivia, French Guiana, Guyana, and Surinam; Trinidad.","North.America",4.207,"153","valid","LC",2016,"extant","","","","Ainsect","t2","volant","","","Mexico, Brazil, Peru, Bolivia, French Guiana, Guyana, Surinam, Trinidad",NA
"58",955,"Chiroptera","Emballonuridae","Rhynchonycteris","naso","Rhynchonycteris naso","1","E Oaxaca and C Veracruz (Mexico) to C and E Brazil, Peru, Bolivia, French Guiana, Guyana, and Surinam; Trinidad.","South.America",4.207,"153","valid","LC",2016,"extant","","","","Ainsect","t3","volant","","","Mexico, Brazil, Peru, Bolivia, French Guiana, Guyana, Surinam, Trinidad",NA
"59",2303,"Chiroptera","Vespertilionidae","Myotis","nigricans","Myotis nigricans","1","Nayarit and Tamaulipas (Mexico) to Peru, Bolivia, N Argentina, Paraguay, and S Brazil; Trinidad and Tobago; St. Martin, Montserrat, Grenada (Lesser Antilles).","North.America",4.24,"153","","LC",2008,"extant","","","","Ainsect","t2","volant","","","Mexico, Peru, Argentina, Brail, Trinidad, Tobago, Lesser Antilles",NA
"60",2304,"Chiroptera","Vespertilionidae","Myotis","nigricans","Myotis nigricans","1","Nayarit and Tamaulipas (Mexico) to Peru, Bolivia, N Argentina, Paraguay, and S Brazil; Trinidad and Tobago; St. Martin, Montserrat, Grenada (Lesser Antilles).","South.America",4.24,"153","","LC",2008,"extant","","","","Ainsect","t3","volant","","","Mexico, Peru, Argentina, Brail, Trinidad, Tobago, Lesser Antilles",NA
"61",2620,"Dasyuromorphia","Dasyuridae","Planigale","ingrami","Planigale ingrami","1","Australia: N and E Queensland, NE Northern Territory, NE Western Australia.","Australia",4.25,"59","valid","LC",2008,"extant","","","","Ginsect","t4","terr","","","",NA
"62",2189,"Chiroptera","Vespertilionidae","Murina","florium","Murina florium","1","Lesser Sunda Isls, Sulawesi, Moluccas, Seram, New Guinea including the Bismark Arch, and NE Australia.","Australia",4.25,"153","","LC",2008,"extant","","","","Ainsect","t4","volant","","","Sunda Isls, Sulawesi, New Guniea, Australia",NA
"63",916,"Chiroptera","Emballonuridae","Balantiopteryx","io","Balantiopteryx io","1","S Veracruz and Oaxaca (Mexico) to EC Guatemala and Belize.","North.America",4.3,"153","valid","VU",2008,"extant","","","","Ainsect","t2","volant","","","Mexico, Guatemala, Belize",NA
"64",6336,"Soricomorpha","Soricidae","Crocidura","douceti","Crocidura douceti","1","Forest-savanna border of Guinea, CÙte díIvoire, and Nigeria.","Africa",4.3,"60, 163, 130","valid","LC",2016,"extant","","","","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"65",6672,"Soricomorpha","Soricidae","Sylvisorex","howelli","Sylvisorex howelli","1","Eastern Arc Mtns (Tanzania): W and E Usambara, Nguru and Uluguru Mtns (Stanley et al., 2000<i>b</i>).","Africa",4.317,"243","valid","LC",2016,"extant","","","Future","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","Tanzania",NA
"66",2395,"Chiroptera","Vespertilionidae","Nyctophilus","walkeri","Nyctophilus walkeri","1","Northern Territory and N Western Australia (Australia).","Australia",4.335,"153","","LC",2008,"extant","","","","Ainsect","t4","volant","","","Australia",NA
"67",2257,"Chiroptera","Vespertilionidae","Myotis","fortidens","Myotis fortidens","1","Sonora and Veracruz (Mexico) to Guatemala.","North.America",4.35,"153","","LC",2008,"extant","","","","Ainsect","t2","volant","","","Guatemala, Mexico",NA
"68",6756,"Chiroptera","Vespertilionidae","Rhogeessa","parvula","Rhogeessa parvula","1","Oaxaca to Sonora (Mexico); TrÈs MarÌas Isls (Mexico).","North.America",4.35,"153","valid","LC",2008,"extant","","","","Ainsect","","","","","Oaxaca, Sonora (Mexico), Trees Marias Isls (Mexico)",NA
"69",1958,"Chiroptera","Thyropteridae","Thyroptera","tricolor","Thyroptera tricolor","1","Veracruz (Mexico) to Guianas, E Brazil, Bolivia, and Peru; Trinidad.","North.America",4.356,"153","","LC",2008,"extant","","","","Ainsect","t2","volant","","","Mexico, Guianas, Brazil, Bolivia, Peru, Trinidad",NA
"70",1959,"Chiroptera","Thyropteridae","Thyroptera","tricolor","Thyroptera tricolor","1","Veracruz (Mexico) to Guianas, E Brazil, Bolivia, and Peru; Trinidad.","South.America",4.356,"153","","LC",2008,"extant","","","","Ainsect","t3","volant","","","Mexico, Guianas, Brazil, Bolivia, Peru, Trinidad",NA
"71",915,"Chiroptera","Emballonuridae","Balantiopteryx","infusca","Balantiopteryx infusca","1","W Ecuador, Colombia.","South.America",4.375,"247","valid","VU",2008,"extant","","","Future","Ainsect","t3","volant","","","Ecuador",NA
"72",6546,"Soricomorpha","Soricidae","Notiosorex","crawfordi","Notiosorex crawfordi","1","SW and SC USA to Baja California and N and C Mexico.","North.America",4.393,"60","valid","LC",2008,"extant","","","","Ginsect","t2","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"73",2047,"Chiroptera","Vespertilionidae","Glischropus","tylopus","Glischropus tylopus","1","Burma, Thailand, W Malaysia, Borneo, Palawan (Philippines), Sumatra and N Molucca Isls.","Eurasia",4.438,"153","","LC",2008,"extant","","","","Ainsect","same as family","volant","","","Burma, Thailand, Malaysia, Borneo, Philiipines, Sumatra, Indonesia",NA
"74",2484,"Chiroptera","Vespertilionidae","Rhogeessa","tumida","Rhogeessa tumida","1","Tamaulipas (Mexico) to N Nicaragua and NW Costa Rica.","North.America",4.45,"153","","LC",2016,"extant","","","","Ainsect","","","","","Tamaulipas (Mexico), Ecuador, bolivia, Brazil, trinidad |bago",NA
"75",2292,"Chiroptera","Vespertilionidae","Myotis","muricola","Myotis muricola","1","Indonesia, and New Guinea; possibly the Philippines.","Eurasia",4.467,"153","","LC",2018,"extant","","","","Ainsect","same as congeners","volant","","","Afghanistan, Taiwan, New Guinea",NA
"76",6601,"Soricomorpha","Soricidae","Sorex","minutus","Sorex minutus","1","Europe to Yenesei River and Lake Baikal, south to Altai and Tien Shan Mtns; populations of Nepal and China have been alternatively identified as <i>minutus</i> or <i>thibetanus</i>; populations of Turkey and the Caucasus as <i>minutus</i> or <i>volnuchini</i>; populations of Kashmir and N Pakistan as <i>minutus</i>, <i>planiceps</i>, or <i>thibetanus</i>.","Eurasia",4.5,"68","valid","LC",2016,"extant","","","","Ginsect","same as congeners","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"77",2117,"Chiroptera","Vespertilionidae","Kerivoula","picta","Kerivoula picta","1","Sri Lanka; India and Nepal to Vietnam, W Malaysia, and S China; Borneo; Sumatra, Java, Bali, Lombok, and Molucca Isls.","Eurasia",4.5,"153","","LC",2008,"extant","","","","Ainsect","same as congeners","volant","","","Sri L ka, India, Vietnam, Malaysia, China, Borneo, Sumatra, Java, Bali, Lombok, Molucca Isls",NA
"78",2487,"Chiroptera","Vespertilionidae","Scotoecus","albofuscus","Scotoecus albofuscus","1","Senegal and Gambia to Kenya, Tanzania, Mozambique, Malawi, KwaZulu-Natal, South Africa.","Africa",4.5,"153","","DD",2008,"extant","","","","ainsect","t1","volant","","","gambia, Kenya, mozambique",NA
"79",6447,"Soricomorpha","Soricidae","Crocidura","shantungensis","Crocidura shantungensis","1","SE Siberia, E China and Korea incl. Taiwan, Cheju and Tsuchima Isl.","Eurasia",4.5,"322","valid","LC",2008,"extant","","","","","","","Was included in C. suaveolens, now distinct species","","Siberia |China |Korea |Taiwan |Cheju Isl |Tsuchima Isl |Kamichima Isl (Japan)",NA
"80",2100,"Chiroptera","Vespertilionidae","Kerivoula","hardwickii","Kerivoula hardwickii","1","India and Sri Lanka, Burma, Laos, Cambodia, Vietnam, Thailand, China, W Malaysia, Borneo, Java, Sumatra, Nusa Penida, Mentawai Isls, Sulawesi, Bali, Lesser Sundas, Kangean Isl and Talaud Isl (Indonesia), Philippines.","Eurasia",4.53,"153","","LC",2008,"extant","","","","Ainsect","same as congeners","volant","Hardwickes Woolly Bat","","Inida, Sri Lanka, Burma, Tahiti, China, Malaysia, Borneo, Java, Sumatra, Mentawai Isls, Sulawesi, Bali, Lesser Sundas, Indonesia, Philippines",NA
"81",2446,"Chiroptera","Vespertilionidae","Pipistrellus","rusticus","Pipistrellus rusticus","1","Senegal, Gambia, Burkina Faso, Ghana, Nigeria, Central African Republic, and Ethiopia, south to Kenya, Tanzania, Malawi, Zambia, South Africa. A specimen from Liberia has been tentatively reidentified as <i>kuhlii</i> (see Koopman et al., 1995).","Africa",4.55,"153","","LC",2008,"extant","","","","ainsect","t1","volant","","","Liberia, Ethiopia, South africa",NA
"82",2416,"Chiroptera","Vespertilionidae","Pipistrellus","coromandra","Pipistrellus coromandra","1","Afghanistan, Bangladesh, India (including Nicobar Isls), Sri Lanka, Pakistan, Nepal, Bhutan, Burma, Cambodia, Thailand, S China.","Eurasia",4.6,"153","","LC",2008,"extant","","","","Ainsect","same as congeners","volant","","","Afghanistan, Pakistan, India, Sri Lanka, Nepal, Bhutan, Burma, China, Thailand, Vietnam",NA
