Old_PBDB_name,New_PBDB_name,MOM_name,notes,decision
Indobune vastanensis,,,,
Indotherium pranhitai,,,,
Inia araguaiaensis,,,,
Irdinolophus mongoliensis,,,,
Isolalutra cretensis,,,,
Isostylops fretus,,,,
Isotypotherium annulatum,,,,
Itatodon tatarinovi,,,,
Kalitherium marinus,,,,
Kermackodon multicuspis,,,,
Kirtlingtonia catenata,,,,
Kotatherium haldanei,,,,
Krusatodon kirtlingtonensis,,,,
Kuehneotherium praecursoris,,,,
Kunmunella kalakotensis,,,,
Kunmunella rajauriensis,,,,
Kunmunella transversa,,,,
Laolestes oweni,,,,
Lemoynea biradicularis,,,,
Lemudeus angustidens,,,,
Leptomeryx elissae,,,,
Leptonychotes weddelli,,,,
Leptophoca amphiatlantica,,,,
Leptophoca lenis,,,,
Leucopleurus acutus,,,,
Libycochoerus khinzikebirus,,,,
Licaphrium mesopotamiense,,,,
Limnenetes anceps,,,,
Limnocyon velox,,,,
Lophialetes yunnanensis,,,,
Lophiodon filholi,,,,
Lophocetus pappus,,,,
Loxodonta creutzburgi,,,,
Lufengpithecus chiangmuanensis,,,,
Lutra trinacriae,,,,
Machairodus kabir,,,,
Macrochirifer brachyspondylus,,,,
Mammut raki,,,,
Marmota vetus,,,,
Martes (Tomictis) gazini,,,,
Martes campestris,,,,
Martes kinseyi,,,,
Mastodon bumiajuensis,,,,
Mastodon proavus,,,,
Maximucinus murheadae,,,,
Maxschlosseria consumata,,,,
Maxschlosseria expansa,,,,
Maxschlosseria minima,,,,
Maxschlosseria minuta,,,,
Maxschlosseria rusticula,,,,
Maxschlosseria septa,,,,
Megagomphos sinanoensis,,,,
Megalictis petersoni,,,,
Menodus proutii,,,,
Menops heloceras,,,,
Mentoclaenodon acrogenius,,,,
Merychyus crabilli,,,,
Merychyus novomexicanus,,,,
Merychyus smithi,,,,
Merycochoerus chelydra,,,,
Merycochoerus vantasselensis,,,,
Merycodus prodromus,,,,
Merycoides pariogonus,,,,
Merycoides relictus,,,,
Merycoidodon culbertsoni,,,,
Merycoidodon dunagani,,,,
Mesocetus schweinfurthi,,,,
Mesocnus browni,,,,
Mesodma garfieldensis,,,,
Mesodma primaeva,,,,
Mesonyx ossifragus,,,,
Mesoplodon longirostris,,,,
Mesoplodon tumidirostris,,,,
Mesoreodon longiceps,,,,
Metasqualodon harwoodi,,,,
Metkatius kashmiriensis,,,,
Miacis australis,,,,
Miacis cognitus,,,,
Miacis medius,,,,
Microcnus gliriformis,,,,
Microlestes rhaeticus,,,,
Micromomys antelucanus,,,,
Micromomys fremdi,,,,
Micromomys vossae,,,,
Micromys kozaniensis,,,,
Microtragulus rusconii,,,,
Millsodon superstes,,,,
Mimetodon douglassi,,,,
Mimotricentes ischyrus,,,,
Miocnus antillensis,,,,
Miolabis princetonianus,,,,
Miophoca vetusta,,,,
Mirabella tuberosa,,,,
Mirandabradys socorrensis,,,,
Mirandabradys urumaquensis,,,,
Mirandabradys zabasi,,,,
Mizuhoptera fujinensis,,,,
Mizuhoptera kanayaensis,,,,
Monachopsis pontica,,,,
Monotherium gaudini,,,,
Morawanocetus yabukii,,,,
Mustela eversmannii,,,,
Mustela reliquus,,,,
Mustela vison,,,,
Mustelictis robustus,,,,
Myanmarius chitseini,,,,
Mylohyus obtusidens,,,,
Myocastor perditus,,,,
Myotis leibi,,,,
Myxomygale minor,,,,
Myxomygale vauclusensis,,,,
Nannippus minor,,,,
Nannippus niobrarensis,,,,
Nannopithex quaylei,,,,
Nanodelphys hunti,,,,
Neoepiblema ambrosettianus,,,,
Neoliotomus ultimus,,,,
Neotragocerus lindgreni,,,,
Nesodon marmoratus,,,,
Neurotrichus columbianus,,,,
Nimravus sectator,,,,
Nothropus nordenskioldi,,,,
Nothrotheriops texanus,,,,
Notictis ortizi,,,,
Notopithecus amplidens,,,,
Notostylops aspectans,,,,
Notostylops brachycephalus,,,,
Oldfieldthomasia transversa,,,,
Oligotheriomys senrudi,,,,
Orca paleorca,,,,
Oreonetes anceps douglassi,,,,
Orientolophus hengdongensis,,,,
Orthogeniops ameghinoi,,,,
Ortholophodon prolongus,,,,
Ortotherium brevirostrum,,,,
Orycteropus africanus,,,,
Oxyacodon archibaldi,,,,
Paceyodon davidi,,,,
Pachycynodon tedfordi,,,,
Pachynodon modicus,,,,
Pachyodon mirabilis,,,,
Pachyphoca chapskii,,,,
Pachyphoca ukrainica,,,,
Paenemarmota nevadensis,,,,
Paikasigudodon yadagirii,,,,
Palaeictops multicuspis,,,,
Palaeolama aequatorialis,,,,
Palaeolama crequii,,,,
Palaeosyops borealis,,,,
Palaeothentes chubutensis,,,,
Palaeothentes lucina,,,,
Palaeothentes praecursor,,,,
Palaeotoxodon paranensis,,,,
Palaeotoxodon protoburmeisteri,,,,
Palaeotoxodon virgatus,,,,
Palaeotragus primaevus,,,,
Palmidophoca callirhoe,,,,
Pantolestes longieundus,,,,
Pantostylops typus,,,,
Paracetus mediatlanticus,,,,
Paracimexomys judithae,,,,
Paracosoryx loxocerus,,,,
Paracricetodon kavakderensis,,,,
Paracricetodon kodjayarmensis,,,,
Paradjidaumo trilophus,,,,
Paramys relictus,,,,
Parasminthus parvulus,,,,
Parectypodus clemensi,,,,
Parictis dakotensis,,,,
Paritatodon kermacki,,,,
Patriomanis americanus,,,,
Peraiocynodon inexpectatus,,,,
Peraiocynodon major,,,,
Peratherium africanum,,,,
Peratherium fugax,,,,
Peratherium marsupium,,,,
Peridyromys occitanus,,,,
Perimys impactus,,,,
Perimys perpinguis,,,,
Peripantostylops orehor,,,,
Periphragnis cristatus,,,,
Peroryctes tedfordi,,,,
Perumys gyulavarii,,,,
Phanophilus dorsatus,,,,
Phenacolemur fuscus,,,,
Phenacolemur mcgrewi,,,,
Phenacolemur shifrae,,,,
Phoberomys insolita,,,,
Phoberomys lozanoi,,,,
Phoberomys minima,,,,
Phoberomys praecursor,,,,
Phoca (Phoca) moori,,,,
Phocanella pumila,,,,
Physodon lorteti,,,,
Physotherium sotterii,,,,
Piscolithax aenigmaticus,,,,
Plagiolophus vitiensis,,,,
Platychoerops georgei,,,,
Platygonus bicalcaratus,,,,
Platygonus narinoensis,,,,
Platygonus pollenae,,,,
Platyosphys einori,,,,
Platyosphys paulsonii,,,,
Platyphoca danica,,,,
Platyphoca vulgaris,,,,
Plesiaceratherium mirallesi,,,,
Plesictis mayri,,,,
Plesiesthonyx munieri,,,,
Plesiocetopsis notopelagicus,,,,
Plesiocetus dyticus,,,,
Plesiocetus gervaisii,,,,
Plesiolestes wilsoni,,,,
Plesiosminthus lajeensis,,,,
Plesiotypotherium majus,,,,
Pliohippus fairbanksi,,,,
Pliohippus spectans,,,,
Pliometanastes galushai,,,,
Poebrotherium franki,,,,
Pogonodon brachyops,,,,
Pogonodon eileenae,,,,
Polydolops kamektsen,,,,
Polydolops rothi,,,,
Polydolops winecage,,,,
Pontophoca jutlandica,,,,
Pontophoca sarmatica,,,,
Pontophoca simionescui,,,,
Pontoporia blainvillii,,,,
Praeanthropus africanus,,,,
Praephoca bendullensis,,,,
Praepusa boeska,,,,
Praepusa magyaricus,,,,
Praepusa vindobonensis,,,,
Priscileo pitikantensis,,,,
Priscodelphinus acutidens,,,,
Proconsul heseloni,,,,
Proconsul nyanzae,,,,
Prodiacodon puercensis,,,,
Prolagostomus divisus,,,,
Prolagostomus profluens,,,,
Prolicaphrium sanalfonensis,,,,
Promegatherium smaltatus,,,,
Promioclaenus siurenensis,,,,
Pronothrotherium figueirasi,,,,
Propachynolophus hengyangensis,,,,
Propachyrucos ameghinorum,,,,
Prophoca proxima,,,,
Propithecia neuquenensis,,,,
Propterodon pishigouensis,,,,
Prosciurus albiclivus,,,,
Prosciurus daxnerae,,,,
Prosotherium triangulidens,,,,
Prosqualodon hamiltoni,,,,
Prosthennops niobrarensis,,,,
Prosthennops xiphodonticus,,,,
Protacaremys pulchellus,,,,
Proterotherium gradatum,,,,
Prothoatherium lacerum,,,,
Protitan robustus,,,,
Protohippus lenticularis,,,,
Protoreodon pearcei,,,,
Prototomus viverrinus,,,,
Protypotherium attenuatum,,,,
Prozaedius proximus,,,,
Pseudaelurus lorteti,,,,
Pseudaelurus turnauensis,,,,
Pseudoeuryurus lelongianus,,,,
Pseudoprepotherium confusum,,,,
Pseudoprotoceras semicinctus,,,,
Pseudotrimylus compressus,,,,
Pseudotrimylus dakotensis,,,,
Pteronarctos piersoni,,,,
Purbeckodon batei,,,,
Ramoceros brevicornis,,,,
Ramoceros marthae,,,,
Raoella dograi,,,,
Rhagomys orthodon,,,,
Sallamys quispea,,,,
Sarmatonectes sintsovi,,,,
Saurocetus gibbesii,,,,
Scenopagus curtidens,,,,
Scenopagus edenensis,,,,
Scenopagus hewettensis,,,,
Scenopagus priscus,,,,
Schizotheriodes parvus,,,,
Schizotherium turgaicum,,,,
Scirrotherium carinatum,,,,
Sciuropterus volans,,,,
Sciurus ballovianus,,,,
Scottimus viduus,,,,
Seudenius cteronc,,,,
Shecenia ctirneru,,,,
Sibirotherium rossicum,,,,
Simia albifrons,,,,
Simpsonodon oxfordensis,,,,
Sinohippus zitteli,,,,
Sivatherium maurusium,,,,
Sparassocynus heterotopicus,,,,
Spermophilus argonautus,,,,
Spermophilus gidleyi,,,,
Spermophilus tephrus,,,,
Sphenotherus paranensis,,,,
Squalodon atlanticus,,,,
Squalodon protervus,,,,
Squalodon tiedemani,,,,
Steneofiber barbouri,,,,
Steneofiber fossor,,,,
Steneofiber gradatus,,,,
Steneofiber hesperus,,,,
Steneofiber schokensis,,,,
Stenodon campbelli,,,,
Storchia biradicata,,,,
Stylidens hookeri,,,,
Submeryceros minor,,,,
Surameryx acrensis,,,,
Sylvochoerus woodburnei,,,,
Talpavus nitidus,,,,
Tapirus olivaresi,,,,
Tashkumyrodon desideratus,,,,
Tataromys suni,,,,
Taubatherium major,,,,
Tegotherium gubini,,,,
Teilhardina americana,,,,
Teilhardina crassidens,,,,
Tetrabelodon osborni,,,,
Theroteinus nikolai,,,,
Thomasia antiqua,,,,
Thomasia hahni,,,,
Thomasia moorei,,,,
Thomasia woutersi,,,,
Tinimomys loomisi,,,,
Todralestes variablis,,,,
Toxodon paranensis,,,,
Toxodontherium compressum,,,,
Trachytherus mendocensis,,,,
Tricorynopus brinkmani,,,,
Tricuspes sigogneauae,,,,
Tricuspes tapeinodon,,,,
Tursiops brocchii,,,,
Tursiops capellinii,,,,
Tursiops osennae,,,,
Typotherium cristatum,,,,
Tyrrhenicola henseli,,,,
Uintacyon edax,,,,
Uintacyon vorax,,,,
Uncia mercerii,,,,
Ursavus elmensis,,,,
Ursus abstrusus,,,,
Waldochoerus bassleri,,,,
Wareolestes rex,,,,
Xenodelphis doelloi,,,,
Xotodon doellojuradi,,,,
Xyophorus bondesioi,,,,
Ysengrinia ginsburgi,,,,
Zeuglodon brachyspondylus,,,,
Zignodelphis miocaenus,,,,
Ziphius (Dolichodon) geelongensis,,,,
