"family","order","n.mass","n.na","percent","avg.size"
"Furipteridae","Chiroptera",3,0,0,3.218
"Galagidae","Primates",11,8,0.421052631578947,369.015181818182
"Geomyidae","Rodentia",39,3,0.0714285714285714,272.028564102564
"Giraffidae","Artiodactyla",2,1,0.333333333333333,564997.973
"Gliridae","Rodentia",18,10,0.357142857142857,46.4996891655556
"Glyptodontidae","Cingulata",11,1,0.0833333333333333,887636.363636364
"Gomphotheriidae","Proboscidea",5,0,0,5954600
"Herpestidae","Carnivora",31,3,0.0882352941176471,1896.96570967742
"Heteromyidae","Rodentia",56,4,0.0666666666666667,50.2002857142857
"Hippopotamidae","Artiodactyla",2,1,0.333333333333333,826245.5725
"Hipposideridae","Chiroptera",39,20,0.338983050847458,17.6250256410256
"Hominidae","Primates",3,7,0.7,69375.2
"Hyaenidae","Carnivora",6,0,0,43099.1093333333
"Hylobatidae","Primates",9,3,0.25,6600.22222222222
"Hypsiprymnodontidae","Diprotodontia",1,0,0,520
"Hystricidae","Rodentia",8,0,0,9447.503
"Leporidae","Lagomorpha",49,12,0.19672131147541,2103.10642857143
"Lorisidae","Primates",6,3,0.333333333333333,641.332166666667
"Macraucheniidae","Litopterna",2,0,0,844000
"Macropodidae","Diprotodontia",63,6,0.0869565217391304,45923.5793650794
"Macroscelididae","Macroscelidea",14,1,0.0666666666666667,151.321285714286
"Mammutidae","Proboscidea",1,0,0,8e+06
"Manidae","Pholidota",7,0,0,8388.754
"Megadermatidae","Chiroptera",5,0,0,49.6982
"Megalonychidae","Pilosa",6,0,0,185776.67
"Megatheriidae","Pilosa",4,0,0,4191250
"Mephitidae","Carnivora",9,2,0.181818181818182,1289.75533333333
"Microbiotheriidae","Microbiotheria",1,0,0,22.3
"Molossidae","Chiroptera",71,34,0.323809523809524,22.6465211267606
"Mormoopidae","Chiroptera",10,0,0,13.5935
"Moschidae","Artiodactyla",4,3,0.428571428571429,12549.475
"Muridae","Rodentia",347,153,0.306,80.2322776505475
"Mustelidae","Carnivora",61,3,0.046875,4432.79674779344
"Mylodontidae","Pilosa",7,0,0,1788000
"Myocastoridae","Rodentia",1,0,0,6937.452
"Myrmecobiidae","Dasyuromorphia",1,0,0,471.5
"Myrmecophagidae","Pilosa",5,0,0,11720.2638
"Nandiniidae","Carnivora",1,0,0,2000
"Natalidae","Chiroptera",2,0,0,5.592
"Nesomyidae","Rodentia",25,13,0.342105263157895,132.44828
"Noctilionidae","Chiroptera",4,0,0,45.55275
"Nothrotheriidae","Pilosa",3,1,0.25,183333.333333333
"Notoryctidae","Notoryctemorphia",2,0,0,44.5
"Nycteridae","Chiroptera",11,3,0.214285714285714,11.9381818181818
"Ochotonidae","Lagomorpha",13,17,0.566666666666667,157.111692307692
"Octodontidae","Rodentia",10,3,0.230769230769231,144.5503
"Ornithorhynchidae","Monotremata",1,0,0,1484.25
"Orycteropodidae","Tubulidentata",1,0,0,52350.399
"Pedetidae","Rodentia",1,1,0.5,3155.005
"Peramelidae","Peramelemorphia",8,0,0,808.875
"Petauridae","Diprotodontia",6,0,0,305.916666666667
"Petromuridae","Rodentia",1,0,0,224.001
"Phalangeridae","Diprotodontia",5,3,0.375,3105
"Phascolarctidae","Diprotodontia",2,0,0,12125
"Phyllostomidae","Chiroptera",167,43,0.204761904761905,24.6374550898204
"Pitheciidae","Primates",22,18,0.45,1722.90963636364
"Platacanthomyidae","Rodentia",2,0,0,49.25
"Potoroidae","Diprotodontia",9,3,0.25,5790
"Procaviidae","Hyracoidea",5,0,0,2961.9908
"Procyonidae","Carnivora",16,3,0.157894736842105,2810.137
"Pseudocheiridae","Diprotodontia",6,1,0.142857142857143,1163.72333333333
"Pteropodidae","Chiroptera",51,8,0.135593220338983,173.057529411765
"Ptilocercidae","Scandentia",1,0,0,42.5
"Rhinocerotidae","Perissodactyla",10,0,0,1844551.4877
"Rhinolophidae","Chiroptera",46,19,0.292307692307692,11.6321304347826
"Rhinopomatidae","Chiroptera",5,1,0.166666666666667,18.6636
"Sciuridae","Rodentia",218,11,0.0480349344978166,717.940435779817
"Soricidae","Soricomorpha",216,110,0.337423312883436,13.1178316581481
"Spalacidae","Rodentia",18,19,0.513513513513513,441.047388888889
"Stegodontidae","Proboscidea",2,1,0.333333333333333,5417000
"Suidae","Artiodactyla",8,1,0.111111111111111,91396.370875
"Tachyglossidae","Monotremata",4,0,0,13659.875
"Talpidae","Soricomorpha",25,8,0.242424242424242,90.36412
"Tapiridae","Perissodactyla",8,0,0,280587.374875
"Tarsiidae","Primates",1,0,0,78
"Tarsipedidae","Diprotodontia",1,0,0,9
"Tayassuidae","Artiodactyla",7,1,0.125,35166.739
"Tenrecidae","Afrosoricida",3,0,0,276.031666666667
"Thryonomyidae","Rodentia",2,0,0,2943.581
"Thylacinidae","Dasyuromorphia",1,0,0,30000
"Thylacoleonidae","Peramelemorphia",1,0,0,115000
"Thylacomyidae","Peramelemorphia",2,0,0,852
"Thyropteridae","Chiroptera",4,1,0.2,3.728
"Toxodontidae","Notoungulata",5,0,0,1168400
"Tragulidae","Artiodactyla",4,3,0.428571428571429,5625.00175
"Tupaiidae","Scandentia",5,1,0.166666666666667,127.8
"Ursidae","Carnivora",17,1,0.0555555555555556,245914.208529412
"Vespertilionidae","Chiroptera",227,129,0.362359550561798,10.8949911894273
"Viverridae","Carnivora",29,4,0.121212121212121,4072.43375862069
"Vombatidae","Diprotodontia",9,0,0,54933.3333333333
